S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,2000000,-,1055,Strata,36 to 40,1896,Feb-20
2,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,1624000,-,1044,Strata,01 to 05,1555,Feb-20
3,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,1118000,-,721,Strata,01 to 05,1550,Feb-20
4,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,1694000,-,1076,Strata,01 to 05,1574,Feb-20
5,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,1418000,-,775,Strata,01 to 05,1830,Feb-20
6,MAYFAIR MODERN,RIFLE RANGE ROAD,Condominium,21,RCR,99 yrs lease commencing from 2018,New Sale,1,2205423,-,1044,Strata,01 to 05,2112,Feb-20
7,MARGARET VILLE,MARGARET DRIVE,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,2153354,-,1184,Strata,26 to 30,1819,Feb-20
8,LE NOUVEL ARDMORE,ARDMORE PARK,Condominium,10,CCR,Freehold,Resale,1,16800000,-,3940,Strata,21 to 25,4264,Feb-20
9,BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 2000,Resale,1,1200000,-,1184,Strata,01 to 05,1013,Feb-20
10,THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2006,Resale,1,1220000,-,786,Strata,41 to 45,1553,Feb-20
11,THE NASSIM,NASSIM HILL,Condominium,10,CCR,Freehold,Resale,1,15100000,-,5307,Strata,01 to 05,2845,Feb-20
12,THE ENCLAVE . HOLLAND,HOLLAND ROAD,Apartment,10,CCR,Freehold,New Sale,1,1562000,-,721,Strata,01 to 05,2166,Feb-20
13,THE ENCLAVE . HOLLAND,HOLLAND ROAD,Apartment,10,CCR,Freehold,New Sale,1,1500000,-,657,Strata,01 to 05,2284,Feb-20
14,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,825000,-,474,Strata,01 to 05,1742,Feb-20
15,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2162000,-,1292,Strata,16 to 20,1674,Feb-20
16,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,Resale,1,2050000,-,1389,Strata,16 to 20,1476,Feb-20
