S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,ONE TREE HILL COLLECTION,JALAN KELAWAR,Detached,10,CCR,Freehold,New Sale,1,15500000,-,5145,Land,-,3013,Feb-20
2,BAN GUAN PARK,HOLLAND ROAD,Detached,10,CCR,Freehold,Resale,1,15500000,-,9050,Land,-,1713,Feb-20
3,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,Detached,10,CCR,Freehold,Resale,1,9380000,-,6242,Land,-,1503,Feb-20
4,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,Semi-detached,10,CCR,Freehold,Resale,1,6600000,-,4529,Land,-,1457,Feb-20
5,LANDED HOUSING DEVELOPMENT,JALAN JAMBU AYER,Detached,21,RCR,Freehold,Resale,1,8600000,-,6218,Land,-,1383,Feb-20
6,LANDED HOUSING DEVELOPMENT,MOUNT SINAI DRIVE,Terrace,10,CCR,999 yrs lease commencing from 1885,Resale,1,3500000,-,1870,Land,-,1872,Feb-20
7,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,10000000,-,7071,Land,-,1414,Jan-20
8,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,4,CCR,99 yrs lease commencing from 2006,Resale,1,14000000,-,11694,Land,-,1197,Jan-20
9,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,Semi-detached,10,CCR,Freehold,Resale,1,7700000,-,5076,Land,-,1517,Jan-20
10,LANDED HOUSING DEVELOPMENT,DALVEY ESTATE,Detached,10,CCR,Freehold,Resale,1,36000000,-,18219,Land,-,1976,Jan-20
11,HUA GUAN GARDENS,HUA GUAN CRESCENT,Semi-detached,21,RCR,999 yrs lease commencing from 1883,Resale,1,6000000,-,5111,Land,-,1174,Jan-20
12,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,Semi-detached,10,CCR,999 yrs lease commencing from 1875,Resale,1,5880000,-,3418,Land,-,1721,Jan-20
13,LANDED HOUSING DEVELOPMENT,SUNSET DRIVE,Detached,21,OCR,Freehold,Resale,1,10300000,-,9707,Land,-,1061,Jan-20
14,LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,Terrace,5,RCR,Freehold,Resale,1,2199000,-,1705,Land,-,1290,Jan-20
15,LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,Detached,21,RCR,999 yrs lease commencing from 1879,Resale,1,9300000,-,4779,Land,-,1946,Jan-20
16,LANDED HOUSING DEVELOPMENT,EWART PARK,Detached,10,CCR,Freehold,Resale,1,19500000,-,22740,Land,-,858,Jan-20
17,GREENBANK PARK,GREENBANK PARK,Semi-detached,21,RCR,Freehold,Resale,1,4000000,-,4314,Land,-,927,Jan-20
18,HOLLAND GARDENS,MOONBEAM TERRACE,Detached,10,CCR,99 yrs lease commencing from 1979,Resale,1,5800000,-,9774,Land,-,593,Jan-20
19,LANDED HOUSING DEVELOPMENT,GREENLEAF AVENUE,Semi-detached,10,CCR,Freehold,Resale,1,5500000,-,3490,Land,-,1576,Jan-20
20,LANDED HOUSING DEVELOPMENT,TOH TUCK TERRACE,Terrace,21,RCR,Freehold,Resale,1,2730000,-,1964,Land,-,1390,Jan-20
21,LANDED HOUSING DEVELOPMENT,YUK TONG AVENUE,Terrace,21,RCR,Freehold,Resale,1,2280000,-,1701,Land,-,1341,Jan-20
22,SANDY ISLAND,SANDY ISLAND,Detached,4,CCR,99 yrs lease commencing from 2007,Resale,1,16800000,-,8220,Land,-,2044,Jan-20
23,SHAMROCK PARK,NAMLY CRESCENT,Detached,10,CCR,Freehold,Resale,1,7600000,-,5313,Land,-,1430,Jan-20
24,LANDED HOUSING DEVELOPMENT,EAST SUSSEX LANE,Detached,10,CCR,Freehold,Resale,1,36882500,-,36883,Land,-,1000,Dec-19
25,MOUNT SINAI,MOUNT SINAI RISE,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,6750000,-,3566,Land,-,1893,Dec-19
26,MANDARIN PARK,LORONG PISANG EMAS,Semi-detached,21,RCR,Freehold,Resale,1,4900000,-,3315,Land,-,1478,Dec-19
27,LANDED HOUSING DEVELOPMENT,CLUNY HILL,Detached,10,CCR,Freehold,Resale,1,30800000,-,15208,Land,-,2025,Dec-19
28,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE DRIVE,Semi-detached,10,CCR,Freehold,Resale,1,6500000,-,3648,Land,-,1782,Dec-19
29,HENRY PARK,GROVE DRIVE,Terrace,10,CCR,Freehold,Resale,1,7650000,-,4945,Land,-,1547,Dec-19
30,BANYAN PARK,CHWEE CHIAN ROAD,Terrace,5,RCR,Freehold,Resale,1,3350000,-,2226,Land,-,1505,Dec-19
31,LANDED HOUSING DEVELOPMENT,JALAN ARNAP,Semi-detached,10,CCR,Freehold,Resale,1,7000000,-,3145,Land,-,2226,Dec-19
32,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,Detached,10,CCR,Freehold,Resale,1,13000000,-,5334,Land,-,2437,Dec-19
33,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,Semi-detached,10,CCR,Freehold,Resale,1,7400000,-,5911,Land,-,1252,Dec-19
34,LANDED HOUSING DEVELOPMENT,TAMAN MAS MERAH,Terrace,5,OCR,Freehold,Resale,1,2300000,-,1640,Land,-,1402,Dec-19
35,FABER HILLS,FABER WALK,Semi-detached,5,OCR,Freehold,Resale,1,6368000,-,7075,Land,-,900,Dec-19
36,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,4,CCR,99 yrs lease commencing from 2007,Resale,1,19888800,-,11914,Land,-,1669,Dec-19
37,CHELSEA VILLAGE,JAMBOL PLACE,Terrace,5,RCR,Freehold,Resale,1,2780000,-,1779,Land,-,1562,Nov-19
38,WEST COAST GARDENS,WEST COAST PARK,Semi-detached,5,OCR,956 yrs lease commencing from 1928,Resale,1,4800000,-,4802,Land,-,1000,Nov-19
39,KINGSVILLE,KING'S ROAD,Semi-detached,10,CCR,102 yrs lease commencing from 1996,Resale,1,3300000,-,2422,Land,-,1363,Nov-19
40,N.A.,HOLLAND ROAD,Detached,10,RCR,947 yrs lease commencing from 1937,New Sale,1,12000000,-,6004,Land,-,1999,Nov-19
41,PRINCESS OF WALES PARK,DUCHESS ROAD,Detached,10,CCR,999 yrs lease commencing from 1875,Resale,1,8500000,-,4241,Land,-,2004,Nov-19
42,LANDED HOUSING DEVELOPMENT,BINJAI PARK,Detached,21,RCR,Freehold,Resale,1,10500000,-,9018,Land,-,1164,Nov-19
43,HOCK SENG PARK,JALAN JAMBU MAWAR,Semi-detached,21,RCR,Freehold,Resale,1,5500000,-,3005,Land,-,1830,Nov-19
44,LANDED HOUSING DEVELOPMENT,MARYLAND DRIVE,Detached,10,CCR,999 yrs lease commencing from 1877,Resale,1,30000000,-,21912,Land,-,1369,Nov-19
45,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,Detached,10,CCR,999 yrs lease commencing from 1875,New Sale,1,13580000,-,5574,Land,-,2436,Nov-19
46,LANDED HOUSING DEVELOPMENT,JALAN HAROM SETANGKAI,Semi-detached,10,CCR,Freehold,Resale,1,6400000,-,3148,Land,-,2033,Oct-19
47,LANDED HOUSING DEVELOPMENT,GREENLEAF VIEW,Semi-detached,10,CCR,Freehold,Resale,1,5660000,-,3589,Land,-,1577,Oct-19
48,LANDED HOUSING DEVELOPMENT,BUKIT TERESA CLOSE,Semi-detached,4,RCR,Freehold,Resale,1,1713900,-,4435,Land,-,386,Oct-19
49,HOOVER PARK,YUK TONG AVENUE,Terrace,21,RCR,Freehold,Resale,1,3750000,-,1701,Land,-,2205,Oct-19
50,LANDED HOUSING DEVELOPMENT,TANGLIN HILL,Detached,10,CCR,Freehold,Resale,1,31500000,-,16446,Land,-,1915,Oct-19
51,HOLLAND GROVE,HOLLAND GROVE VIEW,Semi-detached,10,CCR,99 yrs lease commencing from 1994,Resale,1,2650000,-,3091,Land,-,857,Oct-19
52,WEST COAST GARDENS,WEST COAST GREEN,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,2400000,-,1983,Land,-,1210,Oct-19
53,LANDED HOUSING DEVELOPMENT,JALAN JAMBU MAWAR,Semi-detached,21,RCR,999 yrs lease commencing from 1875,Resale,1,4770000,-,2998,Land,-,1591,Oct-19
54,KILBURN ESTATE,WILMONAR AVENUE,Detached,21,RCR,999 yrs lease commencing from 1885,Resale,1,8480000,-,5591,Land,-,1517,Oct-19
55,LANDED HOUSING DEVELOPMENT,GROVE DRIVE,Terrace,10,CCR,Freehold,Resale,1,3900000,-,2203,Land,-,1770,Oct-19
56,LANDED HOUSING DEVELOPMENT,BELMONT ROAD,Detached,10,CCR,Freehold,Resale,1,34500000,-,27000,Land,-,1278,Oct-19
57,HOLLAND GROVE,HOLLAND GROVE VIEW,Semi-detached,10,CCR,99 yrs lease commencing from 1994,Resale,1,2628000,-,2224,Land,-,1182,Oct-19
58,LANDED HOUSING DEVELOPMENT,JUBILEE ROAD,Terrace,5,OCR,Freehold,Resale,1,3480000,-,2598,Land,-,1339,Oct-19
59,LANDED HOUSING DEVELOPMENT,BELMONT ROAD,Detached,10,CCR,Freehold,Resale,1,18600000,-,16327,Land,-,1139,Oct-19
60,LANDED HOUSING DEVELOPMENT,FABER WALK,Semi-detached,5,OCR,Freehold,Resale,1,4350000,-,3533,Land,-,1231,Sep-19
